cp_bar,cp_time,cp_type,confirm_bar,confirm_time,entry_bar,entry_time,atr_entry
4720,2024-02-26 16:00:00+00:00,up,4720,2024-02-26 16:00:00+00:00,4721,2024-02-26 20:00:00+00:00,660.1663080481555
4731,2024-02-28 12:00:00+00:00,up,4731,2024-02-28 12:00:00+00:00,4732,2024-02-28 16:00:00+00:00,1049.2905255816522
4763,2024-03-04 20:00:00+00:00,up,4763,2024-03-04 20:00:00+00:00,4764,2024-03-05 00:00:00+00:00,1233.4082029546526
4771,2024-03-06 04:00:00+00:00,up,4771,2024-03-06 04:00:00+00:00,4772,2024-03-06 08:00:00+00:00,2122.83868264518
4850,2024-03-19 08:00:00+00:00,down,4850,2024-03-19 08:00:00+00:00,4851,2024-03-19 12:00:00+00:00,1834.6445142747639
5003,2024-04-13 20:00:00+00:00,down,5003,2024-04-13 20:00:00+00:00,5004,2024-04-14 00:00:00+00:00,1775.6477370553775
5107,2024-05-01 04:00:00+00:00,down,5107,2024-05-01 04:00:00+00:00,5108,2024-05-01 08:00:00+00:00,1270.5686945858367
5497,2024-07-05 04:00:00+00:00,down,5497,2024-07-05 04:00:00+00:00,5498,2024-07-05 08:00:00+00:00,1289.9391854468877
5682,2024-08-05 00:00:00+00:00,down,5682,2024-08-05 00:00:00+00:00,5683,2024-08-05 04:00:00+00:00,1676.9492210890844
6240,2024-11-06 00:00:00+00:00,up,6240,2024-11-06 00:00:00+00:00,6241,2024-11-06 04:00:00+00:00,1411.5731839832956
6274,2024-11-11 16:00:00+00:00,up,6274,2024-11-11 16:00:00+00:00,6275,2024-11-11 20:00:00+00:00,1554.5947505246327
6414,2024-12-05 00:00:00+00:00,up,6414,2024-12-05 00:00:00+00:00,6415,2024-12-05 04:00:00+00:00,1790.384500323681
6506,2024-12-20 08:00:00+00:00,down,6506,2024-12-20 08:00:00+00:00,6507,2024-12-20 12:00:00+00:00,2269.1977279054977
6909,2025-02-25 12:00:00+00:00,down,6909,2025-02-25 12:00:00+00:00,6910,2025-02-25 16:00:00+00:00,1663.46941304815
6925,2025-02-28 04:00:00+00:00,down,6925,2025-02-28 04:00:00+00:00,6926,2025-02-28 08:00:00+00:00,2193.870468798874
6946,2025-03-03 16:00:00+00:00,down,6946,2025-03-03 16:00:00+00:00,6947,2025-03-03 20:00:00+00:00,2528.2836153731555
7153,2025-04-07 04:00:00+00:00,down,7153,2025-04-07 04:00:00+00:00,7154,2025-04-07 08:00:00+00:00,1591.7858316288784
7723,2025-07-11 04:00:00+00:00,up,7723,2025-07-11 04:00:00+00:00,7724,2025-07-11 08:00:00+00:00,1335.8330703659678
8272,2025-10-10 16:00:00+00:00,down,8273,2025-10-10 20:00:00+00:00,8274,2025-10-11 00:00:00+00:00,2704.5008815134897
8275,2025-10-11 04:00:00+00:00,down,8275,2025-10-11 04:00:00+00:00,8276,2025-10-11 08:00:00+00:00,2693.211984570305
8311,2025-10-17 04:00:00+00:00,down,8311,2025-10-17 04:00:00+00:00,8312,2025-10-17 08:00:00+00:00,1940.9808375380767
8339,2025-10-21 20:00:00+00:00,down,8339,2025-10-21 20:00:00+00:00,8340,2025-10-22 00:00:00+00:00,1939.9457563391984
8422,2025-11-04 16:00:00+00:00,down,8422,2025-11-04 16:00:00+00:00,8423,2025-11-04 20:00:00+00:00,1688.9968668724543
8480,2025-11-14 08:00:00+00:00,down,8480,2025-11-14 08:00:00+00:00,8481,2025-11-14 12:00:00+00:00,1839.0714984000133
8518,2025-11-20 16:00:00+00:00,down,8518,2025-11-20 16:00:00+00:00,8519,2025-11-20 20:00:00+00:00,1871.7001443767451
8950,2026-01-31 16:00:00+00:00,down,8950,2026-01-31 16:00:00+00:00,8951,2026-01-31 20:00:00+00:00,1788.9870379150225
8979,2026-02-05 12:00:00+00:00,down,8979,2026-02-05 12:00:00+00:00,8980,2026-02-05 16:00:00+00:00,2030.8052288099666
8981,2026-02-05 20:00:00+00:00,down,8981,2026-02-05 20:00:00+00:00,8982,2026-02-06 00:00:00+00:00,2229.7422636167566
9141,2026-03-04 12:00:00+00:00,up,9141,2026-03-04 12:00:00+00:00,9142,2026-03-04 16:00:00+00:00,1723.687129832396
9681,2026-06-02 12:00:00+00:00,down,9681,2026-06-02 12:00:00+00:00,9682,2026-06-02 16:00:00+00:00,979.5794592817698
9692,2026-06-04 08:00:00+00:00,down,9692,2026-06-04 08:00:00+00:00,9693,2026-06-04 12:00:00+00:00,1364.0505916904544
