cp_bar,cp_time,cp_type,confirm_bar,confirm_time,entry_bar,entry_time,atr_entry
6244,2024-11-06 16:00:00+00:00,up,6244,2024-11-06 16:00:00+00:00,6245,2024-11-06 20:00:00+00:00,1506.205875357844
6273,2024-11-11 12:00:00+00:00,up,6273,2024-11-11 12:00:00+00:00,6274,2024-11-11 16:00:00+00:00,1437.7328082572963
6277,2024-11-12 04:00:00+00:00,up,6277,2024-11-12 04:00:00+00:00,6278,2024-11-12 08:00:00+00:00,1829.9722911452693
6285,2024-11-13 12:00:00+00:00,up,6285,2024-11-13 12:00:00+00:00,6286,2024-11-13 16:00:00+00:00,2275.490338263732
6322,2024-11-19 16:00:00+00:00,up,6322,2024-11-19 16:00:00+00:00,6323,2024-11-19 20:00:00+00:00,1683.340099398859
6326,2024-11-20 08:00:00+00:00,up,6326,2024-11-20 08:00:00+00:00,6327,2024-11-20 12:00:00+00:00,1577.4875176731275
6381,2024-11-29 12:00:00+00:00,up,6381,2024-11-29 12:00:00+00:00,6382,2024-11-29 16:00:00+00:00,1512.0219731879502
6413,2024-12-04 20:00:00+00:00,up,6413,2024-12-04 20:00:00+00:00,6414,2024-12-05 00:00:00+00:00,1415.8063849639648
6453,2024-12-11 12:00:00+00:00,up,6453,2024-12-11 12:00:00+00:00,6454,2024-12-11 16:00:00+00:00,1820.5113515274663
6507,2024-12-20 12:00:00+00:00,down,6507,2024-12-20 12:00:00+00:00,6508,2024-12-20 16:00:00+00:00,2484.426461626533
6652,2025-01-13 16:00:00+00:00,down,6652,2025-01-13 16:00:00+00:00,6653,2025-01-13 20:00:00+00:00,1525.800612708318
6675,2025-01-17 12:00:00+00:00,up,6675,2025-01-17 12:00:00+00:00,6676,2025-01-17 16:00:00+00:00,1518.152770844657
6691,2025-01-20 04:00:00+00:00,up,6691,2025-01-20 04:00:00+00:00,6692,2025-01-20 08:00:00+00:00,2461.8530621705177
6696,2025-01-21 00:00:00+00:00,up,6696,2025-01-21 00:00:00+00:00,6697,2025-01-21 04:00:00+00:00,2885.1666117772334
6732,2025-01-27 00:00:00+00:00,up,6732,2025-01-27 00:00:00+00:00,6733,2025-01-27 04:00:00+00:00,1488.961318246862
6735,2025-01-27 12:00:00+00:00,down,6735,2025-01-27 12:00:00+00:00,6736,2025-01-27 16:00:00+00:00,1761.2982930715589
6774,2025-02-03 00:00:00+00:00,down,6774,2025-02-03 00:00:00+00:00,6775,2025-02-03 04:00:00+00:00,1903.4114399834157
6785,2025-02-04 20:00:00+00:00,down,6785,2025-02-04 20:00:00+00:00,6786,2025-02-05 00:00:00+00:00,2218.8618187295824
6832,2025-02-12 16:00:00+00:00,down,6832,2025-02-12 16:00:00+00:00,6833,2025-02-12 20:00:00+00:00,1351.1185064733268
6845,2025-02-14 20:00:00+00:00,down,6845,2025-02-14 20:00:00+00:00,6846,2025-02-15 00:00:00+00:00,1272.1121707451969
6869,2025-02-18 20:00:00+00:00,down,6869,2025-02-18 20:00:00+00:00,6870,2025-02-19 00:00:00+00:00,1080.182797725019
6880,2025-02-20 16:00:00+00:00,up,6881,2025-02-20 20:00:00+00:00,6882,2025-02-21 00:00:00+00:00,1012.6260817510988
6887,2025-02-21 20:00:00+00:00,up,6887,2025-02-21 20:00:00+00:00,6888,2025-02-22 00:00:00+00:00,1211.5575807501214
6907,2025-02-25 04:00:00+00:00,down,6907,2025-02-25 04:00:00+00:00,6908,2025-02-25 08:00:00+00:00,1398.5266565528839
6911,2025-02-25 20:00:00+00:00,down,6911,2025-02-25 20:00:00+00:00,6912,2025-02-26 00:00:00+00:00,1695.049646964986
6916,2025-02-26 16:00:00+00:00,down,6916,2025-02-26 16:00:00+00:00,6917,2025-02-26 20:00:00+00:00,1898.7230316433834
6927,2025-02-28 12:00:00+00:00,down,6927,2025-02-28 12:00:00+00:00,6928,2025-02-28 16:00:00+00:00,2374.867904219437
6939,2025-03-02 12:00:00+00:00,down,6939,2025-03-02 12:00:00+00:00,6940,2025-03-02 16:00:00+00:00,1805.8718910515856
6953,2025-03-04 20:00:00+00:00,down,6953,2025-03-04 20:00:00+00:00,6954,2025-03-05 00:00:00+00:00,2802.2425009035255
7024,2025-03-16 16:00:00+00:00,down,7024,2025-03-16 16:00:00+00:00,7025,2025-03-16 20:00:00+00:00,1297.777691786411
7043,2025-03-19 20:00:00+00:00,up,7043,2025-03-19 20:00:00+00:00,7044,2025-03-20 00:00:00+00:00,1281.8439635695734
7095,2025-03-28 12:00:00+00:00,up,7095,2025-03-28 12:00:00+00:00,7096,2025-03-28 16:00:00+00:00,1040.7450243803667
7127,2025-04-02 20:00:00+00:00,down,7127,2025-04-02 20:00:00+00:00,7128,2025-04-03 00:00:00+00:00,1550.708381598985
7155,2025-04-07 12:00:00+00:00,down,7155,2025-04-07 12:00:00+00:00,7156,2025-04-07 16:00:00+00:00,1926.7168650269418
7185,2025-04-12 12:00:00+00:00,up,7185,2025-04-12 12:00:00+00:00,7186,2025-04-12 16:00:00+00:00,1702.7941272902337
7803,2025-07-24 12:00:00+00:00,up,7803,2025-07-24 12:00:00+00:00,7804,2025-07-24 16:00:00+00:00,1339.816744669212
7806,2025-07-25 00:00:00+00:00,up,7806,2025-07-25 00:00:00+00:00,7807,2025-07-25 04:00:00+00:00,1416.7281661947006
7809,2025-07-25 12:00:00+00:00,down,7809,2025-07-25 12:00:00+00:00,7810,2025-07-25 16:00:00+00:00,1466.6084843767337
7814,2025-07-26 08:00:00+00:00,down,7814,2025-07-26 08:00:00+00:00,7815,2025-07-26 12:00:00+00:00,1279.2530191841392
7908,2025-08-11 00:00:00+00:00,up,7908,2025-08-11 00:00:00+00:00,7909,2025-08-11 04:00:00+00:00,1130.9188910460152
7996,2025-08-25 16:00:00+00:00,down,7996,2025-08-25 16:00:00+00:00,7997,2025-08-25 20:00:00+00:00,1413.7857808322422
8059,2025-09-05 04:00:00+00:00,up,8059,2025-09-05 04:00:00+00:00,8060,2025-09-05 08:00:00+00:00,1229.91738741693
8091,2025-09-10 12:00:00+00:00,up,8091,2025-09-10 12:00:00+00:00,8092,2025-09-10 16:00:00+00:00,1009.3688116051837
8128,2025-09-16 16:00:00+00:00,up,8128,2025-09-16 16:00:00+00:00,8129,2025-09-16 20:00:00+00:00,854.256351782753
8163,2025-09-22 12:00:00+00:00,down,8163,2025-09-22 12:00:00+00:00,8164,2025-09-22 16:00:00+00:00,837.5531939421783
8238,2025-10-05 00:00:00+00:00,up,8238,2025-10-05 00:00:00+00:00,8239,2025-10-05 04:00:00+00:00,1093.1130010872976
8265,2025-10-09 12:00:00+00:00,up,8265,2025-10-09 12:00:00+00:00,8266,2025-10-09 16:00:00+00:00,1510.1624011640731
8272,2025-10-10 16:00:00+00:00,down,8273,2025-10-10 20:00:00+00:00,8274,2025-10-11 00:00:00+00:00,2704.5008815134897
8280,2025-10-12 00:00:00+00:00,down,8280,2025-10-12 00:00:00+00:00,8281,2025-10-12 04:00:00+00:00,2358.9366493259176
8295,2025-10-14 12:00:00+00:00,down,8295,2025-10-14 12:00:00+00:00,8296,2025-10-14 16:00:00+00:00,2027.5328721356204
8343,2025-10-22 12:00:00+00:00,down,8343,2025-10-22 12:00:00+00:00,8344,2025-10-22 16:00:00+00:00,1811.265853988021
8394,2025-10-31 00:00:00+00:00,down,8394,2025-10-31 00:00:00+00:00,8395,2025-10-31 04:00:00+00:00,1710.1354029072052
8748,2025-12-29 00:00:00+00:00,up,8748,2025-12-29 00:00:00+00:00,8749,2025-12-29 04:00:00+00:00,761.4662478322516
8853,2026-01-15 12:00:00+00:00,up,8853,2026-01-15 12:00:00+00:00,8854,2026-01-15 16:00:00+00:00,1185.637595326857
8902,2026-01-23 16:00:00+00:00,down,8902,2026-01-23 16:00:00+00:00,8903,2026-01-23 20:00:00+00:00,1131.402929456739
8940,2026-01-30 00:00:00+00:00,down,8940,2026-01-30 00:00:00+00:00,8941,2026-01-30 04:00:00+00:00,1449.394107605402
8950,2026-01-31 16:00:00+00:00,down,8950,2026-01-31 16:00:00+00:00,8951,2026-01-31 20:00:00+00:00,1788.9870379150225
8957,2026-02-01 20:00:00+00:00,down,8957,2026-02-01 20:00:00+00:00,8958,2026-02-02 00:00:00+00:00,1716.8663463742803
8982,2026-02-06 00:00:00+00:00,down,8982,2026-02-06 00:00:00+00:00,8983,2026-02-06 04:00:00+00:00,2511.1535305012744
8986,2026-02-06 16:00:00+00:00,down,8986,2026-02-06 16:00:00+00:00,8987,2026-02-06 20:00:00+00:00,2600.5653812121745
8990,2026-02-07 08:00:00+00:00,down,8990,2026-02-07 08:00:00+00:00,8991,2026-02-07 12:00:00+00:00,2503.9859213036484
9039,2026-02-15 12:00:00+00:00,down,9039,2026-02-15 12:00:00+00:00,9040,2026-02-15 16:00:00+00:00,1167.3973642790231
9094,2026-02-24 16:00:00+00:00,down,9094,2026-02-24 16:00:00+00:00,9095,2026-02-24 20:00:00+00:00,1066.6132040796144
9110,2026-02-27 08:00:00+00:00,down,9110,2026-02-27 08:00:00+00:00,9111,2026-02-27 12:00:00+00:00,1264.510804569169
9129,2026-03-02 12:00:00+00:00,up,9130,2026-03-02 16:00:00+00:00,9131,2026-03-02 20:00:00+00:00,1576.78447438966
9139,2026-03-04 04:00:00+00:00,up,9139,2026-03-04 04:00:00+00:00,9140,2026-03-04 08:00:00+00:00,1546.3241269062112
9164,2026-03-08 08:00:00+00:00,down,9164,2026-03-08 08:00:00+00:00,9165,2026-03-08 12:00:00+00:00,1082.32704032868
9194,2026-03-13 08:00:00+00:00,up,9194,2026-03-13 08:00:00+00:00,9195,2026-03-13 12:00:00+00:00,1140.3622193117853
9211,2026-03-16 04:00:00+00:00,up,9211,2026-03-16 04:00:00+00:00,9212,2026-03-16 08:00:00+00:00,1014.8617351906435
9219,2026-03-17 12:00:00+00:00,up,9219,2026-03-17 12:00:00+00:00,9220,2026-03-17 16:00:00+00:00,1122.0597179832143
9304,2026-03-31 16:00:00+00:00,down,9304,2026-03-31 16:00:00+00:00,9305,2026-03-31 20:00:00+00:00,1112.1655557264423
9351,2026-04-08 12:00:00+00:00,up,9351,2026-04-08 12:00:00+00:00,9352,2026-04-08 16:00:00+00:00,1089.2727192754628
9363,2026-04-10 12:00:00+00:00,up,9363,2026-04-10 12:00:00+00:00,9364,2026-04-10 16:00:00+00:00,1044.5736944630357
9387,2026-04-14 12:00:00+00:00,up,9387,2026-04-14 12:00:00+00:00,9388,2026-04-14 16:00:00+00:00,984.9587663331788
9405,2026-04-17 12:00:00+00:00,up,9405,2026-04-17 12:00:00+00:00,9406,2026-04-17 16:00:00+00:00,1091.0522158500844
9432,2026-04-22 00:00:00+00:00,up,9432,2026-04-22 00:00:00+00:00,9433,2026-04-22 04:00:00+00:00,1079.9488713016415
9435,2026-04-22 12:00:00+00:00,up,9435,2026-04-22 12:00:00+00:00,9436,2026-04-22 16:00:00+00:00,1058.78238711724
9489,2026-05-01 12:00:00+00:00,up,9489,2026-05-01 12:00:00+00:00,9490,2026-05-01 16:00:00+00:00,810.1837000612202
9504,2026-05-04 00:00:00+00:00,up,9504,2026-05-04 00:00:00+00:00,9505,2026-05-04 04:00:00+00:00,731.4713712036461
9507,2026-05-04 12:00:00+00:00,up,9507,2026-05-04 12:00:00+00:00,9508,2026-05-04 16:00:00+00:00,922.5000738099155
9555,2026-05-12 12:00:00+00:00,up,9555,2026-05-12 12:00:00+00:00,9556,2026-05-12 16:00:00+00:00,756.6485288514433
9567,2026-05-14 12:00:00+00:00,up,9568,2026-05-14 16:00:00+00:00,9569,2026-05-14 20:00:00+00:00,915.8961668465472
9573,2026-05-15 12:00:00+00:00,down,9574,2026-05-15 16:00:00+00:00,9575,2026-05-15 20:00:00+00:00,906.0154118262296
9690,2026-06-04 00:00:00+00:00,down,9690,2026-06-04 00:00:00+00:00,9691,2026-06-04 04:00:00+00:00,1339.852757226799
9693,2026-06-04 12:00:00+00:00,down,9693,2026-06-04 12:00:00+00:00,9694,2026-06-04 16:00:00+00:00,1418.0184065697076
9695,2026-06-04 20:00:00+00:00,down,9695,2026-06-04 20:00:00+00:00,9696,2026-06-05 00:00:00+00:00,1366.1913811749012
9701,2026-06-05 20:00:00+00:00,down,9701,2026-06-05 20:00:00+00:00,9702,2026-06-06 00:00:00+00:00,1632.6709279266934
9815,2026-06-24 20:00:00+00:00,down,9815,2026-06-24 20:00:00+00:00,9816,2026-06-25 00:00:00+00:00,991.2727022914266
9843,2026-06-29 12:00:00+00:00,down,9843,2026-06-29 12:00:00+00:00,9844,2026-06-29 16:00:00+00:00,939.8007453046638
